timestamp,sim_hours,P_A_kW,comfort_violation_A_degCh,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,scheduled_vars_A,under_attack_A,bcp_A,bahu_A,Tsa_A,Vcore_A,P_B_kW,P_B_kW_original,SOC_B,TES_mode_B,comfort_violation_B_degCh,T_core_B,T_east_B,T_north_B,T_south_B,T_west_B,scheduled_vars_B,under_attack_B,P_total_kW,feeder_capacity_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,attack_active,attack_name
18360900,12.25,24.07866667,0,23.87962963,22.7962963,22.72222222,23.2037037,24.05555556,"bcp,bahu",FALSE,1,1,13,0.5,5.584499332,2.792249666,0.596886239,1,0,23.83567963,23.91708319,24.03202286,24.38727266,24.04983856,uMod,FALSE,2.97E+01,50,72.27742421,8.316772736,FALSE,FALSE,
18361800,12.5,25.76633333,0,23.75,22.51851852,22.48148148,22.98148148,23.92592593,"bcp,bahu",FALSE,1,1,13,0.5,5.584499332,2.792249666,0.596886239,1,0,23.83567963,23.91708319,24.03202286,24.38727266,24.04983856,uMod,FALSE,3.14E+01,50,70.51906009,8.844281974,FALSE,FALSE,
18362700,12.75,19.04366667,0,23.86111111,22.94444444,22.90740741,23.40740741,23.90740741,"bcp,bahu",FALSE,1,1,13,0.5,5.584499332,2.792249666,0.596886239,1,0,23.83567963,23.91708319,24.03202286,24.38727266,24.04983856,uMod,FALSE,2.46E+01,50,71.30698025,8.607905926,FALSE,FALSE,
18363600,13,25.57733333,0,23.89814815,22.64814815,22.59259259,23.09259259,23.96296296,"bcp,bahu",FALSE,1,1,13,0.5,5.990121812,2.995060906,0.560264929,1,0,24.0267263,23.99116454,24.10397407,24.31274318,24.21896513,uMod,FALSE,3.16E+01,50,72.74470569,8.176588293,FALSE,FALSE,
18364500,13.25,21.454,0,23.93518519,22.83333333,22.7962963,23.31481481,24.07407407,"bcp,bahu",FALSE,1,1,13,0.5,5.990121812,2.995060906,0.560264929,1,0,24.0267263,23.99116454,24.10397407,24.31274318,24.21896513,uMod,FALSE,2.74E+01,50,73.43014474,7.970956577,FALSE,FALSE,
18365400,13.5,23.63966667,0,24.10185185,22.94444444,22.92592593,23.42592593,24.16666667,"bcp,bahu",FALSE,1,1,13,0.5,5.990121812,2.995060906,0.560264929,1,0,24.0267263,23.99116454,24.10397407,24.31274318,24.21896513,uMod,FALSE,2.96E+01,50,74.23149614,7.730551158,FALSE,FALSE,
18366300,13.75,21.73333333,0,24.00925926,22.90740741,22.92592593,23.42592593,24.18518519,"bcp,bahu",FALSE,1,1,13,0.5,5.990121812,2.995060906,0.560264929,1,0,24.0267263,23.99116454,24.10397407,24.31274318,24.21896513,uMod,FALSE,2.77E+01,50,72.34757738,8.295726787,FALSE,FALSE,
18367200,14,25.31866667,0,24.08333333,22.81481481,22.75925926,23.27777778,24.31481481,"bcp,bahu",FALSE,1,1,13,0.5,8.866621642,4.433310821,0.521414386,1,0,24.07500414,23.99549082,24.0601109,24.24470216,24.32921592,uMod,FALSE,3.42E+01,50,75.06464293,7.480607122,FALSE,FALSE,
18368100,14.25,24.079,0,23.97222222,22.74074074,22.7962963,23.31481481,23.87037037,"bcp,bahu",FALSE,1,1,13,0.5,8.866621642,4.433310821,0.521414386,1,0,24.07500414,23.99549082,24.0601109,24.24470216,24.32921592,uMod,FALSE,3.29E+01,50,74.56285438,7.631143685,FALSE,FALSE,
18369000,14.5,28.097,0,23.86111111,22.38888889,22.48148148,23,24.46296296,"bcp,bahu",FALSE,1,1,13,0.5,8.866621642,4.433310821,0.521414386,1,0,24.07500414,23.99549082,24.0601109,24.24470216,24.32921592,uMod,FALSE,3.70E+01,50,73.24348933,8.026953201,FALSE,FALSE,
18369900,14.75,22.46733333,0,23.93518519,22.90740741,22.88888889,23.24074074,23.83333333,"bcp,bahu",FALSE,1,1,13,0.5,8.866621642,4.433310821,0.521414386,1,0,24.07500414,23.99549082,24.0601109,24.24470216,24.32921592,uMod,FALSE,3.13E+01,50,72.6770739,8.196877829,FALSE,FALSE,
18370800,15,27.07266667,0,23.93518519,22.48148148,22.51851852,23.01851852,24.27777778,"bcp,bahu",FALSE,1,1,13,0.5,6.692226914,3.346113457,0.479961644,1,0,23.9310927,23.96090992,24.02876403,24.01797642,24.37216858,uMod,FALSE,3.38E+01,50,69.59096869,9.122709394,FALSE,FALSE,
18371700,15.25,19.48066667,0,24.06481481,23.03703704,22.90740741,24.11111111,24.27777778,"bcp,bahu",FALSE,1,1,13,0.5,6.692226914,3.346113457,0.479961644,1,0,23.9310927,23.96090992,24.02876403,24.01797642,24.37216858,uMod,FALSE,2.62E+01,50,69.14571522,9.256285435,FALSE,FALSE,
18372600,15.5,27.525,0,24.12037037,22.77777778,22.74074074,23.22222222,24.31481481,"bcp,bahu",FALSE,1,1,13,0.5,6.692226914,3.346113457,0.479961644,1,0,23.9310927,23.96090992,24.02876403,24.01797642,24.37216858,uMod,FALSE,3.42E+01,50,68.4928058,9.452158259,FALSE,FALSE,
18373500,15.75,19.04433333,0,24.30555556,23.44444444,23.42592593,23.66666667,24.90740741,"bcp,bahu",FALSE,1,1,13,0.5,6.692226914,3.346113457,0.479961644,1,0,23.9310927,23.96090992,24.02876403,24.01797642,24.37216858,uMod,FALSE,2.57E+01,50,69.9234867,9.022953991,FALSE,FALSE,
18374400,16,26.428,0,24.25,22.88888889,22.96296296,23.27777778,24.7962963,"bcp,bahu",FALSE,1,1,13,0.5,6.60664321,3.303321605,0.436755606,1,0,24.00689052,23.96126056,24.0095995,23.92485714,24.67193657,uMod,FALSE,3.30E+01,50,69.3016583,9.209502509,FALSE,FALSE,
18375300,16.25,22.00933333,0,24.25,23.16666667,23.11111111,23.46296296,25.07407407,"bcp,bahu",FALSE,1,1,13,0.5,6.60664321,3.303321605,0.436755606,1,0,24.00689052,23.96126056,24.0095995,23.92485714,24.67193657,uMod,FALSE,2.86E+01,50,68.92063191,9.323810426,FALSE,FALSE,
18376200,16.5,27.947,0,24.08333333,22.59259259,22.75925926,23.09259259,24.68518519,"bcp,bahu",FALSE,1,1,13,0.5,6.60664321,3.303321605,0.436755606,1,0,24.00689052,23.96126056,24.0095995,23.92485714,24.67193657,uMod,FALSE,3.46E+01,50,68.51801944,9.444594167,FALSE,FALSE,
18377100,16.75,22.499,0,24.15740741,22.94444444,23.05555556,23.38888889,25,"bcp,bahu",FALSE,1,1,13,0.5,6.60664321,3.303321605,0.436755606,1,0,24.00689052,23.96126056,24.0095995,23.92485714,24.67193657,uMod,FALSE,2.91E+01,50,66.50829372,10.04751188,FALSE,FALSE,
18378000,17,28.39766667,0,23.97222222,22.44444444,22.61111111,22.90740741,24.59259259,"bcp,bahu",FALSE,1,1,13,0.5,9.360607156,4.680303578,0.396847203,1,0,23.76408162,23.84121404,23.87147206,23.34749866,24.32620224,uMod,FALSE,3.78E+01,50,69.07969163,9.276092511,FALSE,FALSE,
18378900,17.25,21.803,0,24.08333333,22.90740741,22.88888889,23.61111111,24.57407407,"bcp,bahu",FALSE,1,1,13,0.5,9.360607156,4.680303578,0.396847203,1,0,23.76408162,23.84121404,23.87147206,23.34749866,24.32620224,uMod,FALSE,3.12E+01,50,69.72393815,9.082818556,FALSE,FALSE,
18379800,17.5,28.07133333,0,23.75,22.44444444,22.2962963,22.81481481,24.27777778,"bcp,bahu",FALSE,1,1,13,0.5,9.360607156,4.680303578,0.396847203,1,0,23.76408162,23.84121404,23.87147206,23.34749866,24.32620224,uMod,FALSE,3.74E+01,50,69.53344585,9.139966244,FALSE,FALSE,
18380700,17.75,23.967,0,23.78703704,22.46296296,22.77777778,22.85185185,24.05555556,"bcp,bahu",FALSE,1,1,13,0.5,9.360607156,4.680303578,0.396847203,1,0,23.76408162,23.84121404,23.87147206,23.34749866,24.32620224,uMod,FALSE,3.33E+01,50,69.21271846,9.236184463,FALSE,FALSE,
18381600,18,20.279,0,23.52777778,22.68518519,22.46296296,22.64814815,24.24074074,"bcp,bahu",FALSE,1,1,13,0.5,6.057748796,3.028874398,0.36207191,1,0,23.42336802,23.73795646,23.73588246,23.45039059,23.81980845,uMod,FALSE,2.63E+01,50,63.4008035,10.97975895,FALSE,FALSE,
18382500,18.25,24.50233333,0,23.76851852,22.42592593,22.62962963,22.85185185,24.31481481,"bcp,bahu",FALSE,1,1,13,0.5,6.057748796,3.028874398,0.36207191,1,0,23.42336802,23.73795646,23.73588246,23.45039059,23.81980845,uMod,FALSE,3.06E+01,50,61.65969778,11.50209067,FALSE,FALSE,
