timestamp,P_A_kW,status_A,mode_A,comfort_violation_A,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,P_B_kW,SOC_B,TES_mode_B,comfort_violation_B,T_core_B,P_total_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,P_A_ref_kW,P_B_ref_kW,SOC_B_target,attack_active
18425700,2.5710919923122477e-52,normal,nominal,0.3415503152162245,26.101957356060723,26.60427106085382,25.998362696214087,26.189341046039544,26.470631797910812,2.714953389522869,0.24155817113618847,1,0.0,23.770157259819825,2.714953389522869,5.429906779045738,47.28504661047713,False,8.000000070335256,12.000000019697062,0.6,False
18426600,7.05765558965145e-66,normal,nominal,0.4149049338733022,26.141831798041267,26.74085867512258,26.039345947247682,26.2322094234608,26.505373891620877,2.9639240609412822,0.2377475538512207,1,0.0,23.657910790625294,2.9639240609412822,5.9278481218825645,47.03607593905872,False,8.000000070335256,12.000000019697062,0.6,False
18427500,4.2460295221361535e-23,normal,nominal,0.4928543578537159,26.18441992790872,26.88228937899885,26.081115871983684,26.279917806490573,26.543674446033037,3.1883268833243505,0.23357377545427102,1,0.0,23.620960996141662,3.1883268833243505,6.376653766648702,46.81167311667565,False,8.000000070335256,12.000000019697062,0.6,False
18428400,11.88535413658043,normal,nominal,0.11443195998609212,25.617330751498173,26.43176387586186,25.548268993262923,25.81903136446317,26.025963964082507,3.504062964313746,0.22917177775347614,1,0.0,23.587769567654277,15.389417100894176,30.778834201788353,34.61058289910582,False,8.000000070335256,12.000000019697062,0.6,False
18429300,11.811634905315893,normal,nominal,0.10644431841973301,25.51579478447553,26.425777273678932,25.46008374491572,25.745835791314676,25.93854740462723,2.586562850139815,0.22450447147089336,1,0.0,23.559324111931403,14.398197755455708,28.796395510911417,35.60180224454429,False,8.000000070335256,12.000000019697062,0.6,False
18430200,11.778763885626743,normal,nominal,0.12432216338679325,25.52076549019006,26.497288653547173,25.468312342269144,25.756086672250262,25.938443878486794,3.748940481606193,0.2198537028978948,1,0.0,23.553794024520812,15.527704367232936,31.05540873446587,34.472295632767064,False,8.000000070335256,12.000000019697062,0.6,False
18431100,11.757489362112524,normal,nominal,0.14468467724312006,25.53847798527852,26.57873870897248,25.48959301094402,25.780070322115364,25.95029741445103,4.634184289335116,0.2151443169209097,1,0.0,23.545360256621507,16.39167365144764,32.78334730289528,33.60832634855236,False,8.000000070335256,12.000000019697062,0.6,False
18432000,11.770022816569512,normal,nominal,0.2175423309040525,25.698584929185756,26.783685414540628,25.641474093947636,25.93670248344614,26.086483909075582,8.67534756918205,0.2144609837631161,2,0.0,23.811796358395895,20.44537038575156,40.89074077150312,29.55462961424844,False,8.000000070335256,12.000000019697062,0.6,False
18432900,11.813374822870474,normal,nominal,0.40330412315128683,25.992748187795314,27.083451904011156,25.902567184586985,26.204647428941485,26.325117159652507,9.192973986203935,0.2144609816350286,2,0.0,23.881234814421646,21.00634880907441,42.01269761814882,28.99365119092559,False,8.000000070335256,12.000000019697062,0.6,False
18433800,11.866856172464885,normal,nominal,0.7630286929765759,26.30055710245142,27.402165799161367,26.22386446119964,26.52663211795152,26.598895291142355,9.694129192960329,0.2144609796105648,2,0.0,24.012416545861925,21.560985365425214,43.12197073085043,28.439014634574786,False,8.000000070335256,12.000000019697062,0.6,False
18434700,11.910723585647933,normal,nominal,1.150419270951076,26.586930679785667,27.705850779379034,26.552464111206746,26.879688176705713,26.876743336727145,9.80121412206982,0.21446097765879027,2,0.0,24.176535417196874,21.711937707717752,43.423875415435504,28.288062292282248,False,8.000000070335256,12.000000019697062,0.6,False
18435600,11.916775613160748,normal,nominal,1.3771889716913819,26.74512170338045,27.892689931485847,26.728015587161224,27.102616969795292,27.040311694942716,10.283995852230875,0.2144609758070132,2,0.0,24.197482170260344,22.200771465391625,44.40154293078325,27.799228534608375,False,8.000000070335256,12.000000019697062,0.6,False
