time_s,hour,agg_mode,theta,P_A_alloc,P_B_alloc,P_total_alloc,support_flag,P_A_kW,alpha_attack,Tz_A_core,Tz_A_east,Tz_A_north,Tz_A_south,Tz_A_west,comfort_viol_A,mode_A,P_B_kW,SOC_B,uMod_B,Tz_B_core,comfort_viol_B,P_total_kW
22500.0,6.25,NORMAL,0,0.52571814224583,42.47428185775417,43.0,False,0.5,0.0,26.550383506684163,26.36246657626671,26.532822477602,26.37848637881916,26.407843500413097,0.0,NOMINAL,3.0,0.5016666666666667,1,24.40754805132144,0.0,3.5
23400.0,6.5,NORMAL,0,0.525502699572081,42.47449730042792,43.0,False,0.5,0.0,26.51458666243335,26.266580387521675,26.520970442044746,26.313293651455318,26.358782998861034,0.0,NOMINAL,3.0,0.5016666666666667,1,24.40754805132144,0.0,3.5
24300.0,6.75,NORMAL,0,0.5253518897004567,42.47464811029954,43.0,False,0.5,0.0,26.407414425683605,26.19837786734681,26.49806525676339,26.27371388662604,26.286418235502268,11.663989671922113,NOMINAL,3.0,0.5016666666666667,1,24.40754805132144,0.0,3.5
25200.0,7.0,NORMAL,0,0.5252463227903196,42.474753677209684,43.0,False,19.8,0.0,25.265405883884842,25.490207966249084,25.812205601870264,25.562836746256416,25.763229124415037,7.893885322675644,NOMINAL,3.0,0.3683333333333334,1,23.97932805980911,0.041904667453891875,22.8
26100.0,7.25,NORMAL,0,6.604672425953224,36.395327574046775,43.0,False,19.8,0.0,24.421114035453492,24.99883902055494,25.221971467372462,25.074816589485792,25.33575619850441,5.052497311371095,NOMINAL,3.0,0.3683333333333334,1,23.97932805980911,0.041904667453891875,22.8
27000.0,7.5,NORMAL,0,10.860270698167255,32.139729301832745,43.0,False,19.8,0.0,23.88232763971031,24.536870314781375,24.715463316554235,24.64108543189704,25.01104192678407,2.9044609900167195,NOMINAL,3.0,0.3683333333333334,1,23.97932805980911,0.041904667453891875,22.8
27900.0,7.75,NORMAL,0,13.839189488717079,29.16081051128292,43.0,False,19.8,0.0,23.47191943141059,24.18327452325564,24.262810753313474,24.207887273373824,24.637354915286814,1.2913274652297524,NOMINAL,3.0,0.3683333333333334,1,23.97932805980911,0.041904667453891875,22.8
28800.0,8.0,NORMAL,0,15.924432642101957,27.075567357898045,43.0,False,19.8,0.0,23.108627691248955,23.892684222041943,23.892117771115533,23.938693174040896,24.406582407100668,0.40658240710066806,NOMINAL,12.0,0.3683333333333334,2,23.671622817070414,0.0,31.8
29700.0,8.25,NORMAL,0,17.38410284947137,25.61589715052863,43.0,False,19.8,0.0,22.874043898230514,23.674533490099115,23.65211176848342,23.680563255815617,24.146890271378656,0.1468902713786555,NOMINAL,12.0,0.3683333333333334,2,23.671622817070414,0.0,31.8
30600.0,8.5,NORMAL,0,18.40587199462996,24.59412800537004,43.0,False,19.8,0.0,22.722807546363832,23.35839933867341,23.456449711380507,23.468305468423612,23.951344691422083,0.0,NOMINAL,12.0,0.3683333333333334,2,23.671622817070414,0.0,31.8
